Unnamed: 0,observed_on,license,image_url,place_guess,latitude,longitude,positional_accuracy,species_guess
23180,2025-12-25,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/602549980/medium.jpg,"Cardiff Rd, Toronto, ON, CA",43.7130177906,-79.3840092558,33.0,Red-bellied Woodpecker
3064,2025-02-05,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/476063185/medium.jpeg,"The Queensway – Humber Bay, Etobicoke, ON, Canada",43.6234058506,-79.4763418997,619.0,Trumpeter Swan
14541,2025-07-25,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/542586358/medium.jpg,"Bayview Village, North York, ON, Canada",43.7694353157,-79.3626483191,122.0,European Starling
14672,2025-07-28,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/544184681/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,American Robin
22177,2025-11-28,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/595695022/medium.jpg,4001 Leslie Street,43.768796,-79.362748,349.0,Northern Cardinal
23079,2025-12-23,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/602138963/medium.jpg,"Bayview Village, North York, ON, Canada",43.7797429474,-79.3722204836,428.0,Downy Woodpecker
7958,2025-05-02,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/498756009/medium.jpg,"Ashbridge's Bay Park, Toronto, ON, Canada",43.657886278,-79.3088377854,15.0,American Coot
6187,2025-04-25,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/491552014/medium.jpeg,"Toronto, ON M5V 2Y3, Canada",43.63708512,-79.39255593,4.0,American Robin
10697,2025-05-24,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/509991478/medium.jpg,"Lake Ontario, Toronto, ON, CA",43.6576801493,-79.3077949466,30.0,Barn Swallow
1668,2025-02-07,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/469599964/medium.jpeg,"Agricultural Fields, Scarborough, ON, Canada",43.8484577386,-79.1711250691,1000.0,Horned Lark
5631,2025-04-18,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/489102095/medium.jpeg,"Colonel  Samuel Smith Park, Toronto, ON, Canada",43.5906511232,-79.5131823425,683.0,Canada Goose
23788,2025-10-24,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/608389980/medium.jpg,"Yonge St, Toronto, ON, CA",43.6477072143,-79.3763066571,135.0,House Sparrow
18339,2025-05-26,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/573009415/medium.jpg,"Centre Island, Toronto, ON, Canada",43.6172397535,-79.3728238839,991.0,Ring-billed Gull
10024,2025-05-13,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/506557346/medium.jpg,"Colonel  Samuel Smith Park, Toronto, ON, Canada",43.5906511232,-79.5131823425,683.0,Canada Goose
21056,2025-11-05,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/588895029/medium.jpg,"South Riverdale, Toronto, ON, Canada",43.6532466311,-79.3251061988,1.0,Razorbill
21519,2025-11-09,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/591313175/medium.jpg,"Bayview Village, North York, ON, Canada",43.7809833934,-79.3850442979,522.0,Northern Cardinal
